2019-02-17 13:40:56,567 | INFO  | Connector ws stopped | org.apache.activemq.broker.TransportConnector | Thread-30
2019-02-17 13:40:56,572 | INFO  | PListStore:[D:\Programs\apache-activemq-5.13.0\bin\..\data\localhost\tmp_storage] stopped | org.apache.activemq.store.kahadb.plist.PListStoreImpl | Thread-30
2019-02-17 13:40:56,572 | INFO  | Stopping async queue tasks | org.apache.activemq.store.kahadb.KahaDBStore | Thread-30
2019-02-17 13:40:56,574 | INFO  | Stopping async topic tasks | org.apache.activemq.store.kahadb.KahaDBStore | Thread-30
2019-02-17 13:40:56,575 | INFO  | Stopped KahaDB | org.apache.activemq.store.kahadb.KahaDBStore | Thread-30
2019-02-17 13:40:57,041 | INFO  | Apache ActiveMQ 5.13.0 (localhost, ID:DESKTOP-I77P024-56604-1550395770006-0:1) uptime 2 hours 11 minutes | org.apache.activemq.broker.BrokerService | Thread-30
2019-02-17 13:40:57,043 | INFO  | Apache ActiveMQ 5.13.0 (localhost, ID:DESKTOP-I77P024-56604-1550395770006-0:1) is shutdown | org.apache.activemq.broker.BrokerService | Thread-30
2019-02-17 13:40:57,045 | INFO  | Closing org.apache.activemq.xbean.XBeanBrokerFactory$1@589838eb: startup date [Sun Feb 17 11:29:28 EET 2019]; root of context hierarchy | org.apache.activemq.xbean.XBeanBrokerFactory$1 | Thread-30
2019-02-17 13:40:57,057 | INFO  | Destroying Spring FrameworkServlet 'dispatcher' | /admin | Thread-30
2019-02-17 14:53:59,194 | INFO  | Refreshing org.apache.activemq.xbean.XBeanBrokerFactory$1@589838eb: startup date [Sun Feb 17 14:53:59 EET 2019]; root of context hierarchy | org.apache.activemq.xbean.XBeanBrokerFactory$1 | main
2019-02-17 14:54:00,342 | INFO  | PListStore:[D:\Programs\apache-activemq-5.13.0\bin\..\data\localhost\tmp_storage] started | org.apache.activemq.store.kahadb.plist.PListStoreImpl | main
2019-02-17 14:54:00,366 | INFO  | Using Persistence Adapter: KahaDBPersistenceAdapter[D:\Programs\apache-activemq-5.13.0\bin\..\data\kahadb] | org.apache.activemq.broker.BrokerService | main
2019-02-17 14:54:00,645 | INFO  | KahaDB is version 6 | org.apache.activemq.store.kahadb.MessageDatabase | main
2019-02-17 14:54:00,676 | INFO  | Recovering from the journal @1:300667 | org.apache.activemq.store.kahadb.MessageDatabase | main
2019-02-17 14:54:00,739 | INFO  | Recovery replayed 1369 operations from the journal in 0.085 seconds. | org.apache.activemq.store.kahadb.MessageDatabase | main
2019-02-17 14:54:00,926 | INFO  | Apache ActiveMQ 5.13.0 (localhost, ID:DESKTOP-I77P024-49960-1550408040768-0:1) is starting | org.apache.activemq.broker.BrokerService | main
2019-02-17 14:54:01,086 | INFO  | Listening for connections at: tcp://DESKTOP-I77P024:61616?maximumConnections=1000&wireFormat.maxFrameSize=104857600 | org.apache.activemq.transport.TransportServerThreadSupport | main
2019-02-17 14:54:01,090 | INFO  | Connector openwire started | org.apache.activemq.broker.TransportConnector | main
2019-02-17 14:54:01,097 | INFO  | Listening for connections at: amqp://DESKTOP-I77P024:5672?maximumConnections=1000&wireFormat.maxFrameSize=104857600 | org.apache.activemq.transport.TransportServerThreadSupport | main
2019-02-17 14:54:01,099 | INFO  | Connector amqp started | org.apache.activemq.broker.TransportConnector | main
2019-02-17 14:54:01,107 | INFO  | Listening for connections at: stomp://DESKTOP-I77P024:61613?maximumConnections=1000&wireFormat.maxFrameSize=104857600 | org.apache.activemq.transport.TransportServerThreadSupport | main
2019-02-17 14:54:01,109 | INFO  | Connector stomp started | org.apache.activemq.broker.TransportConnector | main
2019-02-17 14:54:01,116 | INFO  | Listening for connections at: mqtt://DESKTOP-I77P024:1883?maximumConnections=1000&wireFormat.maxFrameSize=104857600 | org.apache.activemq.transport.TransportServerThreadSupport | main
2019-02-17 14:54:01,121 | INFO  | Connector mqtt started | org.apache.activemq.broker.TransportConnector | main
2019-02-17 14:54:01,339 | INFO  | Listening for connections at ws://DESKTOP-I77P024:61614?maximumConnections=1000&wireFormat.maxFrameSize=104857600 | org.apache.activemq.transport.ws.WSTransportServer | main
2019-02-17 14:54:01,341 | INFO  | Connector ws started | org.apache.activemq.broker.TransportConnector | main
2019-02-17 14:54:01,345 | INFO  | Apache ActiveMQ 5.13.0 (localhost, ID:DESKTOP-I77P024-49960-1550408040768-0:1) started | org.apache.activemq.broker.BrokerService | main
2019-02-17 14:54:01,347 | INFO  | For help or more information please see: http://activemq.apache.org | org.apache.activemq.broker.BrokerService | main
2019-02-17 14:54:01,887 | INFO  | No Spring WebApplicationInitializer types detected on classpath | /admin | main
2019-02-17 14:54:02,035 | INFO  | ActiveMQ WebConsole available at http://0.0.0.0:8161/ | org.apache.activemq.web.WebConsoleStarter | main
2019-02-17 14:54:02,036 | INFO  | ActiveMQ Jolokia REST API available at http://0.0.0.0:8161/api/jolokia/ | org.apache.activemq.web.WebConsoleStarter | main
2019-02-17 14:54:02,122 | INFO  | Initializing Spring FrameworkServlet 'dispatcher' | /admin | main
2019-02-17 14:54:02,437 | INFO  | No Spring WebApplicationInitializer types detected on classpath | /api | main
2019-02-17 14:54:02,716 | INFO  | jolokia-agent: No access restrictor found at classpath:/jolokia-access.xml, access to all MBeans is allowed | /api | main
2019-02-17 14:57:43,077 | WARN  | Transport Connection to: tcp://127.0.0.1:50111 failed: java.net.SocketException: Connection reset | org.apache.activemq.broker.TransportConnection.Transport | ActiveMQ Transport: tcp:///127.0.0.1:50111@61616
2019-02-17 14:57:43,818 | WARN  | Transport Connection to: tcp://127.0.0.1:50108 failed: java.net.SocketException: Connection reset | org.apache.activemq.broker.TransportConnection.Transport | ActiveMQ Transport: tcp:///127.0.0.1:50108@61616
